file,m,j,d,p,i,guan_solution,guan_optimal,guan_time,guan_gap,guan_build_time,tbasedw_solution,tbasedw_optimal,tbasedw_time,tbasedw_gap,tbasedw_build_time
m15j15d15p10_5.csv.out,15,15,15,10,5,5,1,1.257999897,0,0.044999838,5,1,5.02699995,0,2.308000088
m15j15d15p10_6.csv.out,15,15,15,10,6,5,1,26.96399999,0,0.046999931,5,1,5.719000101,0,2.226000071
m15j15d15p10_7.csv.out,15,15,15,10,7,6,1,1.032999992,0,0.044999838,6,1,3.806999922,0,1.690000057
m15j15d15p10_8.csv.out,15,15,15,10,8,6,1,4.669999838,0,0.039999962,6,1,5.011999846,0,1.99000001
m15j15d15p10_9.csv.out,15,15,15,10,9,6,1,2.092000008,0,0.062999964,6,1,6.330000162,0,1.967000008
m15j15d15p20_0.csv.out,15,15,15,20,0,9,1,0.563999891,0,0.039000034,9,1,20.56200004,0,6.554000139
m15j15d15p20_1.csv.out,15,15,15,20,1,10,1,0.167000055,0,0.042999983,10,1,10.80100012,0,5.951000214
m15j15d15p20_2.csv.out,15,15,15,20,2,7,1,0.881999969,0,0.04399991,7,1,30.12800002,0,5.366000175
m15j15d15p20_3.csv.out,15,15,15,20,3,7,1,0.828999996,0,0.040999889,7,1,14.74900007,0,5.160000086
m15j15d15p20_4.csv.out,15,15,15,20,4,8,1,1.589000225,0,0.039999962,8,1,10.94700003,0,4.854000092
m15j15d15p20_5.csv.out,15,15,15,20,5,8,1,0.71600008,0,0.039999962,8,1,15.41600013,0,4.871000051
m15j15d15p20_6.csv.out,15,15,15,20,6,8,1,1.569999933,0,0.039999962,8,1,33.35500002,0,5.891000032
m15j15d15p20_7.csv.out,15,15,15,20,7,10,1,0.936000109,0,0.04700017,10,1,13.88599992,0,5.934000015
m15j15d15p20_8.csv.out,15,15,15,20,8,9,1,0.177999973,0,0.039000034,9,1,19.58899999,0,9.062999964
m15j15d15p20_9.csv.out,15,15,15,20,9,9,1,0.176000118,0,0.039000034,9,1,10.36599994,0,5
m15j15d15p40_0.csv.out,15,15,15,40,0,11,1,0.290999889,0,0.070999861,11,1,71.22500014,0,26.75400019
m15j15d15p40_1.csv.out,15,15,15,40,1,11,1,3.05700016,0,0.070999861,11,1,90.37100005,0,25.43899989
m15j15d15p40_2.csv.out,15,15,15,40,2,11,1,0.265000105,0,0.047999859,11,1,50.86299992,0,25.1079998
m15j15d15p40_3.csv.out,15,15,15,40,3,10,1,0.215999842,0,0.042999983,10,1,70.36999989,0,17.61399984
m15j15d15p40_4.csv.out,15,15,15,40,4,10,1,0.201999903,0,0.042000055,10,1,81.70899987,0,19.26900005
m15j15d15p40_5.csv.out,15,15,15,40,5,10,1,0.365999937,0,0.040999889,10,1,48.00899982,0,23.61599994
m15j15d15p40_6.csv.out,15,15,15,40,6,9,1,1.263999939,0,0.045000076,9,1,46.02600002,0,16.42799997
m15j15d15p40_7.csv.out,15,15,15,40,7,9,1,0.265000105,0,0.042000055,9,1,46.67299986,0,19.31200004
m15j15d15p40_8.csv.out,15,15,15,40,8,10,1,0.519999981,0,0.039999962,10,1,52.42599988,0,20.06399989
m15j15d15p40_9.csv.out,15,15,15,40,9,9,1,0.491999865,0,0.042999983,9,1,25.74799991,0,13.57799983
m15j15d25p05_0.csv.out,15,15,25,5,0,0,1,0.222999811,0,0.039999962,0,1,1.605999947,0,0.671999931
m15j15d25p05_1.csv.out,15,15,25,5,1,2,1,0.157000065,0,0.046999931,2,1,1.39199996,0,0.671000004
m15j15d25p05_2.csv.out,15,15,25,5,2,1,1,0.110999823,0,0.038999796,1,1,1.290999889,0,0.56099987
m15j15d25p05_3.csv.out,15,15,25,5,3,1,1,0.14199996,0,0.042999983,1,1,1.201000214,0,0.625
m15j15d25p05_4.csv.out,15,15,25,5,4,1,1,0.669000149,0,0.041000128,1,1,3.141000032,0,0.838999987
m15j15d25p05_5.csv.out,15,15,25,5,5,1,1,0.200000048,0,0.042000055,1,1,1.297999859,0,0.588000059
m15j15d25p05_6.csv.out,15,15,25,5,6,2,1,1.237999916,0,0.042999983,2,1,1.266000032,0,0.53399992
m15j15d25p05_7.csv.out,15,15,25,5,7,2,1,0.151000023,0,0.042999983,2,1,1.64199996,0,0.792999983
m15j15d25p05_8.csv.out,15,15,25,5,8,3,1,1.572999954,0,0.039000034,3,1,1.229000092,0,0.679000139
m15j15d25p05_9.csv.out,15,15,25,5,9,2,1,0.616000175,0,0.041000128,2,1,1.440000057,0,0.687999964
m15j15d25p10_0.csv.out,15,15,25,10,0,4,1,0.888000011,0,0.042000055,4,1,4.085999966,0,1.774999857
m15j15d25p10_1.csv.out,15,15,25,10,1,4,1,0.858999968,0,0.065999985,4,1,5.124000072,0,1.934000015
m15j15d25p10_2.csv.out,15,15,25,10,2,3,1,0.361999989,0,0.046000004,3,1,5.194000006,0,1.890000105
m15j15d25p10_3.csv.out,15,15,25,10,3,5,1,0.746999979,0,0.039999962,5,1,2.907000065,0,1.53399992
m15j15d25p10_4.csv.out,15,15,25,10,4,5,1,1.707000017,0,0.0400002,5,1,5.06799984,0,2.143999815
m15j15d25p10_5.csv.out,15,15,25,10,5,4,1,1.125,0,0.045000076,4,1,5.022000074,0,1.96600008
m15j15d25p10_6.csv.out,15,15,25,10,6,3,1,0.633000135,0,0.042999983,3,1,4.036999941,0,1.733999968
m15j15d25p10_7.csv.out,15,15,25,10,7,3,1,0.34800005,0,0.039999962,3,1,5.105000019,0,1.446000099
m15j15d25p10_8.csv.out,15,15,25,10,8,3,1,2.093999863,0,0.038999796,3,1,4.988000154,0,1.828999996
m15j15d25p10_9.csv.out,15,15,25,10,9,6,1,0.755000114,0,0.041000128,6,1,4.669000149,0,2.142000198
m15j15d25p20_0.csv.out,15,15,25,20,0,8,1,1.21600008,0,0.042000055,8,1,11.26600003,0,4.795000076
m15j15d25p20_1.csv.out,15,15,25,20,1,8,1,0.923999786,0,0.061999798,8,1,21.83599997,0,6.82400012
m15j15d25p20_2.csv.out,15,15,25,20,2,8,1,0.325999975,0,0.042999983,8,1,13.99599981,0,6.824999809
m15j15d25p20_3.csv.out,15,15,25,20,3,6,1,0.812999964,0,0.039999962,6,1,21.18199992,0,5.723999977
m15j15d25p20_4.csv.out,15,15,25,20,4,6,1,1.006999969,0,0.039000034,6,1,12.1400001,0,4.607000113
m15j15d25p20_5.csv.out,15,15,25,20,5,6,1,3.273000002,0,0.0400002,6,1,22.4059999,0,6.697000027
m15j15d25p20_6.csv.out,15,15,25,20,6,6,1,0.625999928,0,0.039999962,6,1,15.28900003,0,5.194999933
m15j15d25p20_7.csv.out,15,15,25,20,7,8,1,59.0150001,0,0.045000076,8,1,52.52699995,0,8.09100008
m15j15d25p20_8.csv.out,15,15,25,20,8,8,1,0.355999947,0,0.041000128,8,1,17.2099998,0,6.474999905
m15j15d25p20_9.csv.out,15,15,25,20,9,7,1,1.280999899,0,0.040999889,7,1,14.23000002,0,6.513000011
m15j15d25p40_0.csv.out,15,15,25,40,0,10,1,0.273000002,0,0.039999962,10,1,72.37700009,0,28.92400002
m15j15d25p40_1.csv.out,15,15,25,40,1,10,1,0.152999878,0,0.042999983,10,1,28.5480001,0,15.773
m15j15d25p40_2.csv.out,15,15,25,40,2,7,1,1.037999868,0,0.041999817,7,1,61.05999994,0,16.89199996
m15j15d25p40_3.csv.out,15,15,25,40,3,8,1,0.332999945,0,0.037999868,8,1,56.09899998,0,15.9690001
m15j15d25p40_4.csv.out,15,15,25,40,4,9,1,3.784999847,0,0.039999962,9,1,1541.566,0,25.58699989
m15j15d25p40_5.csv.out,15,15,25,40,5,10,1,0.159000158,0,0.044000149,10,1,41.52099991,0,23.93799996
m15j15d25p40_6.csv.out,15,15,25,40,6,7,1,1.433000088,0,0.042000055,7,1,97.33500004,0,19.08599997
m15j15d25p40_7.csv.out,15,15,25,40,7,9,1,0.326999903,0,0.049000025,9,1,117.7520001,0,14.20700002
m15j15d25p40_8.csv.out,15,15,25,40,8,9,1,1.097000122,0,0.046000004,9,1,41.30800009,0,19.08599997
m15j15d25p40_9.csv.out,15,15,25,40,9,9,1,1.130000114,0,0.039000034,9,1,278.8610001,0,18.58500004
m15j25d15p05_0.csv.out,15,25,15,5,0,8,0,1800,0.25,0.09499979,8,1,9.247999907,0,2.124000072
m15j25d15p05_1.csv.out,15,25,15,5,1,9,1,86.41300011,0,0.093000174,9,1,6.171000004,0,2.476000071
m15j25d15p05_2.csv.out,15,25,15,5,2,8,1,528.9330001,0,0.094000101,8,1,6.960999966,0,2.85800004
m15j25d15p05_3.csv.out,15,25,15,5,3,9,1,736.553,0,0.090999842,9,1,5.00999999,0,2.555999994
m15j25d15p05_4.csv.out,15,25,15,5,4,11,0,1800,0.272727273,0.092000008,11,1,4.684000015,0,2.515000105
m15j25d15p05_5.csv.out,15,25,15,5,5,9,0,1800,0.222222222,0.092000008,9,1,3.876000166,0,1.774000168
m15j25d15p05_6.csv.out,15,25,15,5,6,12,1,444.908,0,0.09100008,12,1,6.04700017,0,2.970000029
m15j25d15p05_7.csv.out,15,25,15,5,7,11,1,1395.39,0,0.09100008,11,1,6.085999966,0,2.713000059
m15j25d15p05_8.csv.out,15,25,15,5,8,11,0,1800,0.453394707,0.095000029,10,1,10.18200016,0,2.616000175
m15j25d15p05_9.csv.out,15,25,15,5,9,9,1,58.13100004,0,0.105000019,9,1,4.799000025,0,2.801000118
m15j25d15p10_0.csv.out,15,25,15,10,0,12,0,1800,0.333333333,0.114000082,12,1,26.39499998,0,7.27699995
m15j25d15p10_1.csv.out,15,25,15,10,1,13,1,241.737,0,0.092999935,13,1,14.2579999,0,5.756000042
m15j25d15p10_2.csv.out,15,25,15,10,2,15,0,1800,0.332082452,0.094000101,15,1,20.56999993,0,6.160000086
m15j25d15p10_3.csv.out,15,25,15,10,3,15,0,1800,0.2,0.093999863,15,1,28.2650001,0,7.023000002
m15j25d15p10_4.csv.out,15,25,15,10,4,16,0,1800,0.0625,0.089999914,16,1,34.1099999,0,9.116999865
m15j25d15p10_5.csv.out,15,25,15,10,5,11,1,80.83299994,0,0.095999956,11,1,20.81299996,0,9.803999901
m15j25d15p10_6.csv.out,15,25,15,10,6,15,1,402.2619998,0,0.122999907,15,1,20.46300006,0,7.580999851
m15j25d15p10_7.csv.out,15,25,15,10,7,12,0,1800,0.166666667,0.092000008,12,1,28.59700012,0,7.611999989
m15j25d15p10_8.csv.out,15,25,15,10,8,15,1,5.917000055,0,0.095000029,15,1,12.99500012,0,6.933000088
m15j25d15p10_9.csv.out,15,25,15,10,9,12,1,571.473,0,0.094000101,12,1,16.18400002,0,7.546000004
m15j25d15p20_0.csv.out,15,25,15,20,0,16,1,25.31800008,0,0.092999935,16,1,36.19700003,0,14.73699999
m15j25d15p20_1.csv.out,15,25,15,20,1,19,1,25.90700006,0,0.095000029,19,1,49.69700003,0,30.19700003
m15j25d15p20_2.csv.out,15,25,15,20,2,17,1,28.12400007,0,0.094000101,17,1,69.86599994,0,22.79999995
m15j25d15p20_3.csv.out,15,25,15,20,3,15,1,809.3539999,0,0.092000008,15,1,76.55800009,0,24.89199996
m15j25d15p20_4.csv.out,15,25,15,20,4,17,1,117.6300001,0,0.094000101,17,1,63.76200008,0,20.42700005
m15j25d15p20_5.csv.out,15,25,15,20,5,16,1,132.1899998,0,0.092999935,16,1,56.48799992,0,23.37199998
m15j25d15p20_6.csv.out,15,25,15,20,6,14,1,423.8499999,0,0.092999935,14,1,114.2289999,0,26.09500003
m15j25d15p20_7.csv.out,15,25,15,20,7,18,0,1800,0.055555556,0.095999956,18,1,90.93099999,0,31.98799992
m15j25d15p20_8.csv.out,15,25,15,20,8,16,0,1800,0.125930616,0.100000143,16,1,120.954,0,20.00299978
m15j25d15p20_9.csv.out,15,25,15,20,9,16,1,36.15999985,0,0.108999968,16,1,66.44999981,0,21.74299979
m15j25d15p40_0.csv.out,15,25,15,40,0,18,1,371.082,0,0.094000101,18,1,134.135,0,80.47199988
m15j25d15p40_1.csv.out,15,25,15,40,1,17,1,120.2320001,0,0.111000061,17,1,407.99,0,96.26999998
m15j25d15p40_2.csv.out,15,25,15,40,2,18,1,2.974999905,0,0.226999998,18,1,437.7970002,0,101.4130001
m15j25d15p40_3.csv.out,15,25,15,40,3,17,0,1800,0.176470588,0.253999949,17,1,328.7279999,0,84.329
m15j25d15p40_4.csv.out,15,25,15,40,4,18,1,50.59299994,0,0.253999949,18,1,404.7580001,0,89.10100007
m15j25d15p40_5.csv.out,15,25,15,40,5,18,1,4.017999887,0,0.228999853,18,1,382.237,0,82.74000001
m15j25d15p40_6.csv.out,15,25,15,40,6,17,1,66.36500001,0,0.110000134,17,1,191.4879999,0,63.35500002
m15j25d15p40_7.csv.out,15,25,15,40,7,18,1,1076.34,0,0.105999947,18,1,304.5350001,0,92.94700003
m15j25d15p40_8.csv.out,15,25,15,40,8,16,1,1572.748,0,0.179999828,16,1,321.1440001,0,87.83299994
m15j25d15p40_9.csv.out,15,25,15,40,9,18,1,7.410000086,0,0.235999823,18,1,244.9909999,0,69.10500002
m15j25d25p05_0.csv.out,15,25,25,5,0,4,1,5.179999828,0,0.092999935,4,1,4.457000017,0,1.765999794
m15j25d25p05_1.csv.out,15,25,25,5,1,8,1,285.266,0,0.092999935,8,1,6.424999952,0,3.088999987
m15j25d25p05_2.csv.out,15,25,25,5,2,7,1,42.07600021,0,0.094000101,7,1,6.253000021,0,2.86500001
m15j25d25p05_3.csv.out,15,25,25,5,3,2,1,85.89899993,0,0.093000174,2,1,8.842000008,0,2.491999865
m15j25d25p05_4.csv.out,15,25,25,5,4,5,1,420.154,0,0.151000023,5,1,4.51699996,0,2.046000004
m15j25d25p05_5.csv.out,15,25,25,5,5,1,1,1096.394,0,0.092000008,1,1,10.3900001,0,1.887000084
m15j25d25p05_6.csv.out,15,25,25,5,6,8,0,1800,0.25,0.093000174,8,1,5.440999985,0,2.63499999
m15j25d25p05_7.csv.out,15,25,25,5,7,5,1,35.0710001,0,0.09100008,5,1,5.434000015,0,2.187000036
m15j25d25p05_8.csv.out,15,25,25,5,8,5,1,541.434,0,0.09100008,5,1,6.840999842,0,2.542999983
m15j25d25p05_9.csv.out,15,25,25,5,9,4,1,51.24499989,0,0.089999914,4,1,5.660000086,0,2.14199996
m15j25d25p10_0.csv.out,15,25,25,10,0,9,1,191.6340001,0,0.093999863,9,1,32.5769999,0,6.381000042
m15j25d25p10_1.csv.out,15,25,25,10,1,12,0,1800,0.416666667,0.09100008,12,1,15.31900001,0,7.317000151
m15j25d25p10_2.csv.out,15,25,25,10,2,12,0,1800,0.416666667,0.092999935,12,1,38.33100009,0,7.989000082
m15j25d25p10_3.csv.out,15,25,25,10,3,8,1,45.20299983,0,0.092000008,8,1,13.05299997,0,5.608999968
m15j25d25p10_4.csv.out,15,25,25,10,4,10,0,1800,0.2,0.09100008,10,1,51.01899981,0,8.019999981
m15j25d25p10_5.csv.out,15,25,25,10,5,13,1,277.5870001,0,0.093000174,13,1,85.046,0,7.617999792
m15j25d25p10_6.csv.out,15,25,25,10,6,10,1,670.7579999,0,0.114000082,10,1,13.52699995,0,6.194000006
m15j25d25p10_7.csv.out,15,25,25,10,7,12,0,1800,0.661785081,0.092000008,11,1,30.23800015,0,8.24000001
m15j25d25p10_8.csv.out,15,25,25,10,8,9,1,341.2089999,0,0.092999935,9,1,20.40899992,0,7.333999872
m15j25d25p10_9.csv.out,15,25,25,10,9,10,1,894.3039999,0,0.09100008,10,1,17.29999995,0,6.871999979
m15j25d25p20_0.csv.out,15,25,25,20,0,15,1,172.9189999,0,0.092000008,15,1,119.934,0,31.85899997
m15j25d25p20_1.csv.out,15,25,25,20,1,17,1,16.273,0,0.101999998,17,1,227.237,0,28.70300007
m15j25d25p20_2.csv.out,15,25,25,20,2,14,1,6.178999901,0,0.128999949,14,1,68.16400003,0,24.98000002
m15j25d25p20_3.csv.out,15,25,25,20,3,14,1,179.322,0,0.095000029,15,0,1800,0.112163615,27.18700004
m15j25d25p20_4.csv.out,15,25,25,20,4,12,1,407.0139999,0,0.160000086,12,1,273.523,0,26.42199993
m15j25d25p20_5.csv.out,15,25,25,20,5,13,1,450.7090001,0,0.100000143,13,1,57.29999995,0,22.4849999
m15j25d25p20_6.csv.out,15,25,25,20,6,15,1,413.622,0,0.092000008,15,1,105.2580001,0,24.88800001
m15j25d25p20_7.csv.out,15,25,25,20,7,12,1,1031.995,0,0.126000166,12,1,225.4630001,0,26.38000011
m15j25d25p20_8.csv.out,15,25,25,20,8,12,0,1800,0.249605989,0.114000082,12,1,153.2449999,0,21.15999985
m15j25d25p20_9.csv.out,15,25,25,20,9,15,1,208.5190001,0,0.105999947,15,1,215.2550001,0,34.03399992
m15j25d25p40_0.csv.out,15,25,25,40,0,16,0,1800,0.0625,0.114000082,16,1,236.993,0,68.12899995
m15j25d25p40_1.csv.out,15,25,25,40,1,18,1,349.0080001,0,0.110000134,18,1,411.6409998,0,109.142
m15j25d25p40_2.csv.out,15,25,25,40,2,16,1,515.9960001,0,0.218999863,16,1,494.007,0,104.559
m15j25d25p40_3.csv.out,15,25,25,40,3,15,0,1800,0.182222222,0.229000092,15,1,372.2510002,0,98.53499985
m15j25d25p40_4.csv.out,15,25,25,40,4,16,1,17.67400002,0,0.230999947,16,1,313.576,0,99.16899991
m15j25d25p40_5.csv.out,15,25,25,40,5,16,0,1800,0.25,0.121000051,16,0,1800,0.076060858,79.6079998
m15j25d25p40_6.csv.out,15,25,25,40,6,18,0,1800,0.055555556,0.225000143,18,1,298.3040001,0,76.98199987
m15j25d25p40_7.csv.out,15,25,25,40,7,16,0,1800,0.0625,0.230000019,16,1,1786.019,0,82.82800007
m15j25d25p40_8.csv.out,15,25,25,40,8,17,1,3.376000166,0,0.121999979,17,1,535.2650001,0,101.9790001
m15j25d25p40_9.csv.out,15,25,25,40,9,17,1,11.20599985,0,0.217999935,17,1,233.7090001,0,60.23000002
m25j15d15p05_0.csv.out,25,15,15,5,0,5,1,0.710999966,0,0.052000046,5,1,4.128000021,0,2.109999895
m25j15d15p05_1.csv.out,25,15,15,5,1,3,1,6.611000061,0,0.039000034,3,1,2.842999935,0,1.423000097
m25j15d15p05_2.csv.out,25,15,15,5,2,0,1,0.322999954,0,0.039000034,0,1,3.578999996,0,1.30099988
m25j15d15p05_3.csv.out,25,15,15,5,3,2,1,0.207999945,0,0.039999962,2,1,2.767999887,0,1.382999897
m25j15d15p05_4.csv.out,25,15,15,5,4,2,1,0.294999838,0,0.039999962,2,1,3.570999861,0,1.46600008
m25j15d15p05_5.csv.out,25,15,15,5,5,1,1,0.208999872,0,0.044999838,1,1,3.019999981,0,1.27699995
m25j15d15p05_6.csv.out,25,15,15,5,6,1,1,0.197999954,0,0.039000034,1,1,2.815000057,0,1.086999893
m25j15d15p05_7.csv.out,25,15,15,5,7,4,1,1.610000134,0,0.0400002,4,1,2.278000116,0,1.292000055
m25j15d15p05_8.csv.out,25,15,15,5,8,2,1,0.770999908,0,0.039999962,2,1,2.690000057,0,1.003999949
m25j15d15p05_9.csv.out,25,15,15,5,9,4,1,0.445999861,0,0.039000034,4,1,2.83100009,0,1.365999937
m25j15d15p10_0.csv.out,25,15,15,10,0,10,1,3.634000063,0,0.039999962,10,1,21.24799991,0,6.957000017
m25j15d15p10_1.csv.out,25,15,15,10,1,8,1,0.993999958,0,0.039999962,8,1,12.42599988,0,5.395999908
m25j15d15p10_2.csv.out,25,15,15,10,2,6,1,0.463999987,0,0.039999962,6,1,10.20899987,0,4.41899991
m25j15d15p10_3.csv.out,25,15,15,10,3,6,1,0.355000019,0,0.038000107,6,1,14.60100007,0,4.404999971
m25j15d15p10_4.csv.out,25,15,15,10,4,8,1,13.75699997,0,0.039999962,8,1,8.177000046,0,4.057999849
m25j15d15p10_5.csv.out,25,15,15,10,5,7,1,0.184999943,0,0.037999868,7,1,17.30300021,0,5.810000181
m25j15d15p10_6.csv.out,25,15,15,10,6,6,1,0.343999863,0,0.039999962,6,1,17.3440001,0,5.21600008
m25j15d15p10_7.csv.out,25,15,15,10,7,5,1,0.371000051,0,0.046999931,5,1,11.76499987,0,5.083999872
m25j15d15p10_8.csv.out,25,15,15,10,8,6,1,0.882999897,0,0.039000034,6,1,9.191999912,0,4.196000099
m25j15d15p10_9.csv.out,25,15,15,10,9,7,1,0.309999943,0,0.038999796,7,1,10.19300008,0,4.516000032
m25j15d15p20_0.csv.out,25,15,15,20,0,9,1,0.25999999,0,0.039000034,9,1,44.68600011,0,12.02099991
m25j15d15p20_1.csv.out,25,15,15,20,1,7,1,0.29399991,0,0.039999962,7,1,42.61599994,0,11.79999995
m25j15d15p20_2.csv.out,25,15,15,20,2,6,1,0.237999916,0,0.039999962,6,1,100.5150001,0,14.00600004
m25j15d15p20_3.csv.out,25,15,15,20,3,8,1,0.311999798,0,0.049000025,8,1,33.19599986,0,16.09699988
m25j15d15p20_4.csv.out,25,15,15,20,4,8,1,0.306999922,0,0.037999868,8,1,165.983,0,13.977
m25j15d15p20_5.csv.out,25,15,15,20,5,8,1,0.621000051,0,0.039999962,8,1,50.92700005,0,12.8599999
m25j15d15p20_6.csv.out,25,15,15,20,6,8,1,1.694000006,0,0.041000128,8,1,32.46300006,0,7.825999975
m25j15d15p20_7.csv.out,25,15,15,20,7,7,1,0.439999819,0,0.037999868,7,1,27.26099992,0,11.33500004
m25j15d15p20_8.csv.out,25,15,15,20,8,11,1,0.578999996,0,0.039000034,11,1,33.98399997,0,15.398
m25j15d15p20_9.csv.out,25,15,15,20,9,9,1,0.140999794,0,0.042999983,9,1,75.51099992,0,14.11100006
m25j15d15p40_0.csv.out,25,15,15,40,0,9,1,0.570000172,0,0.049000025,9,1,229.3700001,0,56.44200015
m25j15d15p40_1.csv.out,25,15,15,40,1,9,1,0.601999998,0,0.125,9,1,254.1030002,0,46.99699998
m25j15d15p40_2.csv.out,25,15,15,40,2,7,1,7.121999979,0,0.084000111,7,1,121.5869999,0,36.09399986
m25j15d15p40_3.csv.out,25,15,15,40,3,9,1,0.31799984,0,0.048999786,9,1,237.569,0,45.80100012
m25j15d15p40_4.csv.out,25,15,15,40,4,9,1,0.680999994,0,0.046000004,9,1,183.5710001,0,40.44300008
m25j15d15p40_5.csv.out,25,15,15,40,5,10,1,3.116999865,0,0.049000025,10,1,358.687,0,52.86100006
m25j15d15p40_6.csv.out,25,15,15,40,6,8,1,1.789999962,0,0.163000107,8,1,340.427,0,53.98900008
m25j15d15p40_7.csv.out,25,15,15,40,7,10,1,0.791999817,0,0.120000124,10,1,123.053,0,63.80799985
m25j15d15p40_8.csv.out,25,15,15,40,8,11,1,0.40899992,0,0.109999895,11,1,117.2620001,0,45.76300001
m25j15d15p40_9.csv.out,25,15,15,40,9,9,1,0.289999962,0,0.089999914,9,1,94.34700012,0,35.97399998
m25j15d25p05_0.csv.out,25,15,25,5,0,2,1,0.763000011,0,0.04700017,2,1,1.898000002,0,1.131999969
m25j15d25p05_1.csv.out,25,15,25,5,1,1,1,0.127000093,0,0.039999962,1,1,2.945999861,0,1.364000082
m25j15d25p05_2.csv.out,25,15,25,5,2,2,1,0.383000135,0,0.038999796,2,1,3.684999943,0,1.661999941
m25j15d25p05_3.csv.out,25,15,25,5,3,3,1,0.799000025,0,0.037999868,3,1,81.86199999,0,1.736000061
m25j15d25p05_4.csv.out,25,15,25,5,4,3,1,0.403000116,0,0.041000128,3,1,4.741000175,0,2.174000025
m25j15d25p05_5.csv.out,25,15,25,5,5,1,1,0.342000008,0,0.040999889,1,1,4.312000036,0,1.807999849
m25j15d25p05_6.csv.out,25,15,25,5,6,2,1,1.343999863,0,0.039000034,2,1,3.470000029,0,1.629999876
m25j15d25p05_7.csv.out,25,15,25,5,7,2,1,0.93900013,0,0.037999868,2,1,3.792000055,0,1.648000002
m25j15d25p05_8.csv.out,25,15,25,5,8,1,1,0.495000124,0,0.039999962,1,1,3.40199995,0,1.502000093
m25j15d25p05_9.csv.out,25,15,25,5,9,1,1,0.20600009,0,0.039000034,1,1,3.506999969,0,1.519999981
m25j15d25p10_0.csv.out,25,15,25,10,0,5,1,1.519999981,0,0.038999796,5,1,9.160000086,0,4.315000057
m25j15d25p10_1.csv.out,25,15,25,10,1,3,1,0.312000036,0,0.039000034,3,1,8.190999985,0,3.128000021
m25j15d25p10_2.csv.out,25,15,25,10,2,4,1,1.742000103,0,0.038000107,4,1,15.33999991,0,4.851000071
m25j15d25p10_3.csv.out,25,15,25,10,3,5,1,0.726999998,0,0.040999889,5,1,11.12999988,0,5.446000099
m25j15d25p10_4.csv.out,25,15,25,10,4,7,1,2.599999905,0,0.039000034,7,1,13.61099982,0,5.197999954
m25j15d25p10_5.csv.out,25,15,25,10,5,2,1,1.360999823,0,0.038999796,2,1,18.1960001,0,5.338000059
m25j15d25p10_6.csv.out,25,15,25,10,6,5,1,0.582000017,0,0.040999889,5,1,10.94500017,0,4.713999987
m25j15d25p10_7.csv.out,25,15,25,10,7,3,1,0.60800004,0,0.042000055,3,1,13.26800013,0,3.769999981
m25j15d25p10_8.csv.out,25,15,25,10,8,5,1,2.267999887,0,0.038000107,5,1,12.43000007,0,4.506000042
m25j15d25p10_9.csv.out,25,15,25,10,9,5,1,1.055999994,0,0.037999868,5,1,12.97500014,0,6.070000172
m25j15d25p20_0.csv.out,25,15,25,20,0,6,1,0.661999941,0,0.038000107,6,1,43.21700001,0,13.73000002
m25j15d25p20_1.csv.out,25,15,25,20,1,7,1,0.463000059,0,0.039999962,7,1,32.15300012,0,11.94900012
m25j15d25p20_2.csv.out,25,15,25,20,2,9,1,0.355999947,0,0.039000034,9,1,29.84600019,0,16.57700014
m25j15d25p20_3.csv.out,25,15,25,20,3,7,1,0.503000021,0,0.039999962,7,1,130.444,0,16.4289999
