file,m,j,d,p,i,cp_1s_solution,cp_1s_optimal,cp_5s_solution,cp_5s_optimal,cp_10s_solution,cp_10s_optimal,cp_20s_solution,cp_20s_optimal,cp_50s_solution,cp_50s_optimal,cp_100s_solution,cp_100s_optimal,cp_1800s_solution,cp_1800s_optimal
m25j20d100p40_3.csv.out,25,20,100,40,3,60347,0,60341,0,50350,0,50350,0,50350,0,50348,0,50338,0
m25j20d100p40_4.csv.out,25,20,100,40,4,70219,0,50229,0,50226,0,40230,0,40229,0,40227,0,40200,0
m25j30d100p20_0.csv.out,25,30,100,20,0,190800,0,190722,0,170918,0,150860,0,150838,0,150820,0,140829,0
m25j30d100p20_1.csv.out,25,30,100,20,1,140523,0,130612,0,130600,0,130590,0,120523,0,120523,0,120513,0
m25j30d100p20_2.csv.out,25,30,100,20,2,160485,0,130566,0,110497,0,100407,0,100407,0,100407,0,100397,0
m25j30d100p20_3.csv.out,25,30,100,20,3,160505,0,160501,0,120495,0,100513,0,100507,0,100477,0,100452,0
m25j30d100p20_4.csv.out,25,30,100,20,4,150497,0,130461,0,120498,0,110512,0,110505,0,110501,0,110451,0
m25j30d100p40_0.csv.out,25,30,100,40,0,202430,0,182181,0,172332,0,172233,0,162141,0,162115,0,152058,0
m25j30d100p40_1.csv.out,25,30,100,40,1,171364,0,141399,0,131458,0,121355,0,121326,0,121326,0,121224,0
m25j30d100p40_2.csv.out,25,30,100,40,2,161723,0,161723,0,151723,0,141795,0,141760,0,141760,0,141605,0
m25j30d100p40_3.csv.out,25,30,100,40,3,181488,0,171400,0,161541,0,151503,0,151427,0,151418,0,141391,0
m25j30d100p40_4.csv.out,25,30,100,40,4,151035,0,141082,0,130988,0,120972,0,120954,0,120954,0,120857,0
m25j40d100p20_0.csv.out,25,40,100,20,0,180639,0,130769,0,120718,0,120658,0,110645,0,110616,0,100582,0
m25j40d100p20_1.csv.out,25,40,100,20,1,180725,0,170723,0,150740,0,140735,0,130680,0,130680,0,120671,0
m25j40d100p20_2.csv.out,25,40,100,20,2,230851,0,190977,0,180978,0,170942,0,160912,0,150967,0,150849,0
m25j40d100p20_3.csv.out,25,40,100,20,3,190654,0,140876,0,140747,0,130682,0,120678,0,120678,0,120620,0
m25j40d100p20_4.csv.out,25,40,100,20,4,180961,0,161169,0,150916,0,140879,0,120854,0,120804,0,120799,0
m25j40d100p40_0.csv.out,25,40,100,40,0,252530,0,223138,0,202901,0,202783,0,182674,0,182624,0,182306,0
m25j40d100p40_1.csv.out,25,40,100,40,1,232090,0,222019,0,192141,0,181931,0,171986,0,171961,0,151840,0
m25j40d100p40_2.csv.out,25,40,100,40,2,201778,0,182216,0,151992,0,151847,0,151844,0,141883,0,141721,0
m25j40d100p40_3.csv.out,25,40,100,40,3,211557,0,182118,0,181877,0,152002,0,151929,0,151853,0,131777,0
m25j40d100p40_4.csv.out,25,40,100,40,4,212002,0,202090,0,182122,0,172110,0,162051,0,161950,0,161914,0
