file,m,j,d,p,i,guan_1s_solution,guan_1s_optimal,guan_1s_solution_time,guan_5s_solution,guan_5s_optimal,guan_5s_solution_time,guan_10s_solution,guan_10s_optimal,guan_10s_solution_time,guan_20s_solution,guan_20s_optimal,guan_20s_solution_time,guan_50s_solution,guan_50s_optimal,guan_50s_solution_time,guan_100s_solution,guan_100s_optimal,guan_100s_solution_time,guan_200s_solution,guan_200s_optimal,guan_200s_solution_time,guan_400s_solution,guan_400s_optimal,guan_400s_solution_time,guan_800s_solution,guan_800s_optimal,guan_800s_solution_time,guan_1800s_solution,guan_1800s_optimal,guan_1800s_solution_time
m15j50d100p40_0.csv.out,15,50,100,40,0,47,0,1.03499984741,47,0,5.02099990845,38,0,10.0180001259,28,0,20.0370001793,23,0,50.0299999714,21,0,100.025000095,18,0,200.039999962,16,0,400.020999908,15,0,800.042000055,16,0,1800.11400008
m15j50d100p40_1.csv.out,15,50,100,40,1,46,0,1.02699995041,34,0,5.03400015831,33,0,10.0309998989,33,0,20.0309998989,27,0,50.0290000439,26,0,100.032000065,24,0,200.041000128,23,0,400.024000168,22,0,800.041000128,22,0,1800.10699987
m15j50d100p40_2.csv.out,15,50,100,40,2,47,0,1.02900004387,41,0,5.03200030327,39,0,10.0279998779,37,0,20.0339999199,27,0,50.0259997845,24,0,100.024000168,21,0,200.042000055,22,0,400.035000086,22,0,800.059999943,21,0,1800.10000014
m15j50d100p40_3.csv.out,15,50,100,40,3,45,0,1.03200006485,45,0,5.01900005341,36,0,10.0440001488,32,0,20.026999712,31,0,50.0320000648,25,0,100.042000055,19,0,200.048000097,18,0,400.025000095,17,0,800.045000076,21,0,1800.1099999
m15j50d100p40_4.csv.out,15,50,100,40,4,46,0,1.03599977493,39,0,5.03599977493,34,0,10.0279998779,34,0,20.0380001068,29,0,50.0390002728,25,0,100.03399992,22,0,200.043999672,22,0,400.021000147,22,0,800.046000004,19,0,1800.08599973
m15j50d100p80_0.csv.out,15,50,100,80,0,48,0,1.15599989891,47,0,5.0150001049,46,0,10.0320000648,37,0,20.0310001373,23,0,50.0370001793,21,0,100.031999826,20,0,200.045000076,20,0,400.035999775,17,0,800.049999952,18,0,1800.10100007
m15j50d100p80_1.csv.out,15,50,100,80,1,47,0,1.02499985695,43,0,5.03300023079,34,0,10.0320000648,27,0,20.0360000134,21,0,50.021999836,20,0,100.032000065,19,0,200.04700017,17,0,400.027000189,15,0,800.040999889,17,0,1800.10899997
m15j50d100p80_2.csv.out,15,50,100,80,2,47,0,1.02899980545,45,0,5.01800012589,37,0,10.0290000439,36,0,20.0280001163,31,0,50.0429999828,30,0,100.034999847,29,0,200.040999889,26,0,400.028000116,27,0,800.029999971,24,0,1800.09899974
m15j50d100p80_3.csv.out,15,50,100,80,3,47,0,1.03600025177,46,0,5.02799987793,35,0,10.0249998569,30,0,20.0220000744,22,0,50.0239999294,21,0,100.036000252,19,0,200.05099988,19,0,400.023000002,17,0,800.052999973,16,0,1800.09900022
m15j50d100p80_4.csv.out,15,50,100,80,4,46,0,1.03199982643,46,0,5.02900004387,37,0,10.0340001583,36,0,20.0319998264,29,0,50.0260000229,27,0,100.034000158,24,0,200.046000004,24,0,400.03399992,22,0,800.051000118,23,0,1800.15299988
m25j40d100p40_0.csv.out,25,40,100,40,0,37,0,1.03699994087,30,0,5.02100014687,25,0,10.0390000343,25,0,20.0310001373,22,0,50.0299999714,21,0,100.04399991,21,0,200.059000015,20,0,400.078000069,20,0,800.25999999,20,0,1800.06200004
