file,m,j,d,p,i,tbased_1s_solution,tbased_5s_solution,tbased_10s_solution,tbased_20s_solution,tbased_50s_solution,tbased_100s_solution,tbased_1800s_solution,guan_1s_solution,guan_5s_solution,guan_10s_solution,guan_20s_solution,guan_50s_solution,guan_100s_solution,guan_1800s_solution,cp_1s_solution,cp_5s_solution,cp_10s_solution,cp_20s_solution,cp_50s_solution,cp_100s_solution,cp_1800s_solution
m25j50d100p40_2.csv.out,25,50,100,40,2,NA,NA,50,25,18,19,12,48,37,35,32,27,22,19,23,18,16,15,15,14,14
m25j50d100p40_3.csv.out,25,50,100,40,3,22,22,22,22,22,15,11,47,33,27,23,19,16,15,23,14,14,14,12,12,11
m25j50d100p40_4.csv.out,25,50,100,40,4,NA,NA,50,25,25,21,17,45,45,45,37,26,25,23,27,22,22,20,18,17,16
m25j50d100p80_0.csv.out,25,50,100,80,0,NA,21,21,21,21,21,19,47,38,32,32,23,23,23,22,19,18,17,16,16,14
m25j50d100p80_1.csv.out,25,50,100,80,1,NA,NA,NA,NA,50,24,15,48,47,37,36,29,28,17,29,20,18,17,17,16,14
m25j50d100p80_2.csv.out,25,50,100,80,2,NA,18,18,18,18,18,12,45,33,29,25,21,18,12,21,15,13,12,12,12,10
m25j50d100p80_3.csv.out,25,50,100,80,3,NA,23,23,23,23,22,16,47,46,35,29,22,20,15,21,15,14,13,12,12,10
m25j50d100p80_4.csv.out,25,50,100,80,4,NA,NA,NA,NA,50,28,19,48,44,36,32,28,25,18,22,21,18,18,18,16,16
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Average,,24.66666667,31.78947368,27.08695652,26.55172414,22.35483871,18.64516129,14.41935484,43.16129032,36.64516129,31.41935484,28.32258065,23.12903226,21.32258065,17.90322581,22.12903226,17.64516129,16.70967742,16.32258065,15.61290323,15.22580645,14.32258065
,,,,Stdev,,3.354101966,11.68845084,9.586510615,9.919627754,8.765646533,4.324722628,2.377312117,5.112708181,8.565622714,6.946338093,6.236383016,4.695685505,4.174422888,3.134271193,3.783666084,2.904575552,2.558561424,2.371878254,2.319158171,2.276103065,2.385890425
,,,,CI 95,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Median,,0,0,23,23,22,18,14,46,38,33,28,22,21,18,22,18,17,17,16,15,14
,,,,Count,,9,19,23,29,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
