file,guan_solution,guan_optimal,guan_time,guan_gap,guan_build_time,tbasedw_solution,tbasedw_optimal,tbasedw_time,tbased_wgap,tbasedw_build_time
m15j15d25p10_2.csv.out,4,1,3.351999998,0,0.039999962,4,1,2.322000027,0,1.013000011
m15j15d25p10_3.csv.out,7,1,0.935000181,0,0.0400002,7,1,4.032000065,0,1.871000051
m15j15d25p10_4.csv.out,4,1,0.176999807,0,0.038999796,4,1,2.659999847,0,1.16899991
m15j15d25p20_0.csv.out,7,1,0.792999983,0,0.042000055,7,1,9.598999977,0,4.578000069
m15j15d25p20_1.csv.out,8,1,0.661999941,0,0.039999962,8,1,14.99600005,0,7.082000017
m15j15d25p20_2.csv.out,3,1,0.338999987,0,0.038999796,3,1,4.937999964,0,2.262000084
m15j15d25p20_3.csv.out,6,1,0.154000044,0,0.040999889,6,1,10.12999988,0,4.299999952
m15j15d25p20_4.csv.out,5,1,0.943999767,0,0.039999962,5,1,11.36500001,0,4.916000128
m15j25d15p05_0.csv.out,7,1,18.2190001,0,0.095000029,7,1,8.373000145,0,2.582999945
m15j25d15p05_1.csv.out,10,0,1800.196,0.2,0.092000008,10,1,5.578999996,0,2.767000198
m15j25d15p05_2.csv.out,8,1,424.415,0,0.09100008,8,1,8.5849998,0,3.11500001
m15j25d15p05_3.csv.out,7,0,1800.26,0.285714286,0.094000101,7,1,8.194999933,0,2.492999792
m15j25d15p05_4.csv.out,8,1,1198.022,0,0.094000101,8,1,4.474999905,0,2.15199995
m15j25d15p10_0.csv.out,10,0,1800.128,0.2,0.093000174,10,1,14.60899997,0,5.453999996
m15j25d15p10_1.csv.out,13,1,58.40100002,0,0.094000101,13,1,24.74499989,0,5.369999886
m15j25d15p10_2.csv.out,12,1,819.914,0,0.096999884,12,1,17.56200004,0,7.377000093
m15j25d15p10_3.csv.out,16,1,64.28500009,0,0.096000195,16,1,23.89400005,0,9.407999992
m15j25d15p10_4.csv.out,13,1,287.9719999,0,0.095999956,13,1,11.56999993,0,6.04399991
m15j25d15p20_0.csv.out,14,1,3.531999826,0,0.092000008,14,1,60.55900002,0,20.68000007
m15j25d15p20_1.csv.out,17,1,179.0440001,0,0.094000101,17,1,907.9150002,0,22.57400012
m15j25d15p20_2.csv.out,15,1,8.986000061,0,0.111000061,15,1,66.70500016,0,24.38100004
m15j25d15p20_3.csv.out,9,0,1800.095,0.217505241,0.090000153,9,0,1814.87,0.111111111,12.97899985
m15j25d15p20_4.csv.out,14,0,1800.267,0.214285714,0.106999874,14,1,318.757,0,16.64599991
m15j25d25p05_0.csv.out,4,1,2.24000001,0,0.128999949,4,1,3.583000183,0,2.063000202
m15j25d25p05_1.csv.out,7,1,127.1009998,0,0.092999935,7,1,5.855999947,0,2.677000046
m15j25d25p05_2.csv.out,8,0,1800.28,0.25,0.092999935,8,1,4.89199996,0,2.578999996
m15j25d25p05_3.csv.out,7,1,25.25400019,0,0.093000174,7,1,6.042000055,0,2.769999981
m15j25d25p05_4.csv.out,4,1,108.3210001,0,0.092000008,4,1,7.10800004,0,2.996000051
m15j25d25p10_0.csv.out,9,1,1296.44,0,0.09499979,9,1,17.49199986,0,7.623999834
m15j25d25p10_1.csv.out,7,0,1800.128,0.285714286,0.095000029,7,1,21.57099986,0,5.677000046
m15j25d25p10_2.csv.out,9,1,613,0,0.09100008,9,1,25.0170002,0,7.586000204
m15j25d25p10_3.csv.out,9,1,367.6259999,0,0.090999842,9,1,29.9150002,0,6.491000175
m15j25d25p10_4.csv.out,9,0,1800.199,0.222222222,0.09100008,9,1,31.66199994,0,7.441999912
m15j25d25p20_0.csv.out,13,1,11.77600002,0,0.09100008,13,1,68.88300014,0,16.28100014
m15j25d25p20_1.csv.out,13,1,1241.566,0,0.092999935,13,1,316.145,0,19.63499999
m15j25d25p20_2.csv.out,11,1,335.2079999,0,0.111999989,11,1,198.2309999,0,21.83699989
m15j25d25p20_3.csv.out,13,0,1801.681,0.230769231,0.107000113,13,1,121.0009999,0,17.07800007
m15j25d25p20_4.csv.out,12,1,13.16499996,0,0.107000113,12,1,112.1590002,0,18.83400011
m25j15d15p05_0.csv.out,4,1,0.424000025,0,0.054000139,4,1,3.419999838,0,1.695999861
m25j15d15p05_1.csv.out,4,1,2.679000139,0,0.039000034,4,1,3.471000195,0,1.636000156
m25j15d15p05_2.csv.out,4,1,0.351000071,0,0.041000128,4,1,2.349999905,0,1.375999928
m25j15d15p05_3.csv.out,5,1,12.66700006,0,0.038000107,5,1,3.808000088,0,1.756999969
m25j15d15p05_4.csv.out,4,1,5.631999969,0,0.039999962,4,1,4.575000048,0,1.759000063
m25j15d15p10_0.csv.out,5,1,1.010999918,0,0.040999889,5,1,9.154999971,0,3.410000086
m25j15d15p10_1.csv.out,6,1,0.572000027,0,0.039000034,6,1,10.39499998,0,4.358999968
m25j15d15p10_2.csv.out,5,1,0.303999901,0,0.039000034,5,1,8.066999912,0,3.333999872
m25j15d15p10_3.csv.out,6,1,0.248999834,0,0.039999962,6,1,6.860999823,0,3.139999866
m25j15d15p10_4.csv.out,6,1,0.195999861,0,0.039000034,6,1,6.311000109,0,3.311000109
m25j15d15p20_0.csv.out,8,1,0.161000013,0,0.0400002,8,1,60.69900012,0,17.93799996
m25j15d15p20_1.csv.out,7,1,0.725000143,0,0.046000004,7,1,45.70700002,0,8.181999922
m25j15d15p20_2.csv.out,6,1,1.101000071,0,0.039000034,6,1,32.93400002,0,8.726000071
m25j15d15p20_3.csv.out,6,1,0.287999868,0,0.039999962,6,1,17.57500005,0,6.701999903
m25j15d15p20_4.csv.out,6,1,0.094000101,0,0.040999889,6,1,19.35600019,0,5.531000137
m25j15d25p05_0.csv.out,1,1,0.172999859,0,0.039000034,1,1,2.134000063,0,1.278000116
m25j15d25p05_1.csv.out,0,1,0.147000074,0,0.041000128,0,1,2.223999977,0,1.253999949
m25j15d25p05_2.csv.out,1,1,0.155999899,0,0.039000034,1,1,2.792999983,0,1.299999952
m25j15d25p05_3.csv.out,2,1,0.642999887,0,0.039999962,2,1,2.295000076,0,1.319000006
m25j15d25p05_4.csv.out,2,1,0.200999975,0,0.039999962,2,1,3.053000212,0,1.507000208
m25j15d25p10_0.csv.out,4,1,1.213000059,0,0.039000034,4,1,8.711000204,0,4.106000185
m25j15d25p10_1.csv.out,5,1,1.443000078,0,0.039999962,5,1,16.39899993,0,4.720000029
m25j15d25p10_2.csv.out,5,1,1.943000078,0,0.039000034,5,1,11.78600001,0,5.252000093
m25j15d25p10_3.csv.out,3,1,1.139999866,0,0.037999868,3,1,9.794000149,0,3.697000027
m25j15d25p10_4.csv.out,5,1,1.215000153,0,0.039999962,5,1,8.953000069,0,3.575000048
m25j15d25p20_0.csv.out,7,1,0.198999882,0,0.039999962,7,1,124.5569999,0,10.92299986
m25j15d25p20_1.csv.out,8,1,0.321000099,0,0.048000097,8,1,33.51300001,0,17.21099997
m25j15d25p20_2.csv.out,4,1,0.166000128,0,0.0400002,4,1,19.09299994,0,6.603999853
m25j15d25p20_3.csv.out,8,1,2.811000109,0,0.041000128,8,1,193.0210001,0,14.73600006
m25j15d25p20_4.csv.out,9,1,0.532000065,0,0.059999943,9,1,36.83699989,0,19.30299997
m25j25d15p05_0.csv.out,8,0,1800.054,0.125,0.092999935,8,1,8.650000095,0,4.687000036
m25j25d15p05_1.csv.out,11,0,1800.235,0.272727273,0.092000008,10,1,11.55200005,0,6.34100008
m25j25d15p05_2.csv.out,9,1,785.74,0,0.09100008,9,1,10.82399988,0,5.378999949
m25j25d15p05_3.csv.out,11,0,1800.222,0.181818182,0.092000008,11,1,17.26600003,0,7.924000025
m25j25d15p05_4.csv.out,5,1,774.1720002,0,0.104000092,5,1,10.63400006,0,4.540999889
m25j25d15p10_0.csv.out,14,1,6.375999928,0,0.092999935,14,1,35.6789999,0,18.31599998
m25j25d15p10_1.csv.out,12,1,809.8559999,0,0.093999863,12,1,92.36399984,0,14.97199988
m25j25d15p10_2.csv.out,11,1,64.58400011,0,0.109000206,11,1,142.1209998,0,17.06499982
m25j25d15p10_3.csv.out,12,0,3603.948,0.166666667,0.111999989,12,1,78.87199998,0,41.4849999
m25j25d15p10_4.csv.out,10,1,93.99900007,0,0.095999956,10,1,57.39999986,0,14.35699987
m25j25d15p20_0.csv.out,16,1,23.48600006,0,0.095000029,16,1,1297.925,0,74.87700009
m25j25d15p20_1.csv.out,16,1,3.430000067,0,0.123000145,16,1,1111.487,0,61.46800017
m25j25d15p20_2.csv.out,12,1,38.26600003,0,0.11500001,12,1,262.7429998,0,38.18899989
m25j25d15p20_3.csv.out,13,1,171.0999999,0,0.114000082,13,1,124.5519998,0,35.34899998
m25j25d15p20_4.csv.out,13,1,177.7850001,0,0.095000029,13,1,1851.647,0,47.88000011
m25j25d25p05_0.csv.out,6,1,133.072,0,0.094000101,6,1,13.85599995,0,5.506999969
m25j25d25p05_1.csv.out,3,1,215.5800002,0,0.092000008,3,1,35.38400006,0,5.274000168
m25j25d25p05_2.csv.out,8,1,124.1670001,0,0.092000008,8,1,13.44000006,0,6.342000008
m25j25d25p05_3.csv.out,6,1,273.28,0,0.09100008,6,1,23.2349999,0,4.299000025
m25j25d25p05_4.csv.out,7,0,1800.435,0.428571429,0.089999914,7,1,72.15300012,0,5.837000132
m25j25d25p10_0.csv.out,7,1,21.50400019,0,0.092000008,7,1,54.28200006,0,15.30100012
m25j25d25p10_1.csv.out,9,1,366.069,0,0.092000008,9,1,23.49599981,0,11.98399997
m25j25d25p10_2.csv.out,10,1,40.09599996,0,0.089999914,10,1,56.05000019,0,14.2980001
m25j25d25p10_3.csv.out,8,0,1800.356,0.25,0.092000008,8,1,686.4449999,0,12.48600006
m25j25d25p10_4.csv.out,13,0,1800.445,0.230769231,0.115999937,13,1,48.59100008,0,22.53200006
m25j25d25p20_0.csv.out,13,1,3.302999973,0,0.088000059,13,1,183.95,0,56.37400007
m25j25d25p20_1.csv.out,13,1,269.21,0,0.095000029,13,1,154.1950002,0,41.94700003
m25j25d25p20_2.csv.out,9,0,1800.274,0.222222222,0.106000185,8,1,234.368,0,43.18300009
m25j25d25p20_3.csv.out,12,1,21.68599987,0,0.105000019,13,0,1849.275,0.139732003,45.36000013
m25j25d25p20_4.csv.out,14,1,235.7260001,0,0.108999968,14,1,213.0089998,0,47.85099983
